Domain,Area,Element,Item,Year,Unit,Value
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient nitrogen N (total)","2013","kg/ha","111.18"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient nitrogen N (total)","2014","kg/ha","111.78"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient nitrogen N (total)","2015","kg/ha","111.23"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient nitrogen N (total)","2016","kg/ha","110.09"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient nitrogen N (total)","2017","kg/ha","109.74"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient nitrogen N (total)","2018","kg/ha","108.1"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient nitrogen N (total)","2019","kg/ha","107.68"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient nitrogen N (total)","2020","kg/ha","111.42"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient phosphate P2O5 (total)","1961","kg/ha","2.33"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient phosphate P2O5 (total)","1962","kg/ha","2.49"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient phosphate P2O5 (total)","1963","kg/ha","3.01"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient phosphate P2O5 (total)","1964","kg/ha","3.36"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient phosphate P2O5 (total)","1965","kg/ha","4.07"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient phosphate P2O5 (total)","1966","kg/ha","5.2"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient phosphate P2O5 (total)","1967","kg/ha","4.97"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient phosphate P2O5 (total)","1968","kg/ha","5.03"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient phosphate P2O5 (total)","1969","kg/ha","6"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient phosphate P2O5 (total)","1970","kg/ha","6.48"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient phosphate P2O5 (total)","1971","kg/ha","7.28"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient phosphate P2O5 (total)","1972","kg/ha","8.06"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient phosphate P2O5 (total)","1973","kg/ha","9.56"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient phosphate P2O5 (total)","1974","kg/ha","8.54"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient phosphate P2O5 (total)","1975","kg/ha","9.09"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient phosphate P2O5 (total)","1976","kg/ha","9.6"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient phosphate P2O5 (total)","1977","kg/ha","11.54"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient phosphate P2O5 (total)","1978","kg/ha","11.54"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient phosphate P2O5 (total)","1979","kg/ha","13.05"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient phosphate P2O5 (total)","1980","kg/ha","14.86"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient phosphate P2O5 (total)","1981","kg/ha","15.26"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient phosphate P2O5 (total)","1982","kg/ha","16.79"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient phosphate P2O5 (total)","1983","kg/ha","18.78"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient phosphate P2O5 (total)","1984","kg/ha","19.56"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient phosphate P2O5 (total)","1985","kg/ha","17.59"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient phosphate P2O5 (total)","1986","kg/ha","18.33"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient phosphate P2O5 (total)","1987","kg/ha","20.39"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient phosphate P2O5 (total)","1988","kg/ha","23.48"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient phosphate P2O5 (total)","1989","kg/ha","24.72"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient phosphate P2O5 (total)","1990","kg/ha","26.67"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient phosphate P2O5 (total)","1991","kg/ha","29.48"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient phosphate P2O5 (total)","1992","kg/ha","27.13"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient phosphate P2O5 (total)","1993","kg/ha","24.07"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient phosphate P2O5 (total)","1994","kg/ha","26.27"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient phosphate P2O5 (total)","1995","kg/ha","29.27"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient phosphate P2O5 (total)","1996","kg/ha","28.02"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient phosphate P2O5 (total)","1997","kg/ha","31.76"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient phosphate P2O5 (total)","1998","kg/ha","32.49"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient phosphate P2O5 (total)","1999","kg/ha","32.89"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient phosphate P2O5 (total)","2000","kg/ha","31.52"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient phosphate P2O5 (total)","2001","kg/ha","31.55"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient phosphate P2O5 (total)","2002","kg/ha","33.73"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient phosphate P2O5 (total)","2003","kg/ha","33.53"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient phosphate P2O5 (total)","2004","kg/ha","36.05"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient phosphate P2O5 (total)","2005","kg/ha","38.69"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient phosphate P2O5 (total)","2006","kg/ha","40.65"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient phosphate P2O5 (total)","2007","kg/ha","37.49"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient phosphate P2O5 (total)","2008","kg/ha","36.82"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient phosphate P2O5 (total)","2009","kg/ha","43.74"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient phosphate P2O5 (total)","2010","kg/ha","48.16"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient phosphate P2O5 (total)","2011","kg/ha","46.98"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient phosphate P2O5 (total)","2012","kg/ha","45.4"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient phosphate P2O5 (total)","2013","kg/ha","44.31"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient phosphate P2O5 (total)","2014","kg/ha","44.75"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient phosphate P2O5 (total)","2015","kg/ha","44.67"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient phosphate P2O5 (total)","2016","kg/ha","44.35"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient phosphate P2O5 (total)","2017","kg/ha","44.62"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient phosphate P2O5 (total)","2018","kg/ha","42.22"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient phosphate P2O5 (total)","2019","kg/ha","41.64"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient phosphate P2O5 (total)","2020","kg/ha","43.85"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient potash K2O (total)","1961","kg/ha","1.45"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient potash K2O (total)","1962","kg/ha","1.55"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient potash K2O (total)","1963","kg/ha","1.77"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient potash K2O (total)","1964","kg/ha","1.78"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient potash K2O (total)","1965","kg/ha","1.94"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient potash K2O (total)","1966","kg/ha","2.12"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient potash K2O (total)","1967","kg/ha","2.5"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient potash K2O (total)","1968","kg/ha","2.57"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient potash K2O (total)","1969","kg/ha","2.72"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient potash K2O (total)","1970","kg/ha","2.78"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient potash K2O (total)","1971","kg/ha","2.79"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient potash K2O (total)","1972","kg/ha","3.12"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient potash K2O (total)","1973","kg/ha","3.73"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient potash K2O (total)","1974","kg/ha","3.84"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient potash K2O (total)","1975","kg/ha","3.29"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient potash K2O (total)","1976","kg/ha","3.52"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient potash K2O (total)","1977","kg/ha","4.01"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient potash K2O (total)","1978","kg/ha","4.69"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient potash K2O (total)","1979","kg/ha","5.3"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient potash K2O (total)","1980","kg/ha","5.08"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient potash K2O (total)","1981","kg/ha","5.72"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient potash K2O (total)","1982","kg/ha","5.43"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient potash K2O (total)","1983","kg/ha","6.25"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient potash K2O (total)","1984","kg/ha","6.72"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient potash K2O (total)","1985","kg/ha","5.92"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient potash K2O (total)","1986","kg/ha","6.65"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient potash K2O (total)","1987","kg/ha","8.3"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient potash K2O (total)","1988","kg/ha","9.38"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient potash K2O (total)","1989","kg/ha","8.87"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient potash K2O (total)","1990","kg/ha","10.35"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient potash K2O (total)","1991","kg/ha","11.19"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient potash K2O (total)","1992","kg/ha","9.12"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient potash K2O (total)","1993","kg/ha","8.46"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient potash K2O (total)","1994","kg/ha","10.69"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient potash K2O (total)","1995","kg/ha","11.68"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient potash K2O (total)","1996","kg/ha","11.07"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient potash K2O (total)","1997","kg/ha","13.2"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient potash K2O (total)","1998","kg/ha","13.45"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient potash K2O (total)","1999","kg/ha","14.16"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient potash K2O (total)","2000","kg/ha","13.94"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient potash K2O (total)","2001","kg/ha","15.29"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient potash K2O (total)","2002","kg/ha","16.01"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient potash K2O (total)","2003","kg/ha","16.16"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient potash K2O (total)","2004","kg/ha","19.84"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient potash K2O (total)","2005","kg/ha","22.78"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient potash K2O (total)","2006","kg/ha","21.25"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient potash K2O (total)","2007","kg/ha","27.05"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient potash K2O (total)","2008","kg/ha","23.69"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient potash K2O (total)","2009","kg/ha","19.75"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient potash K2O (total)","2010","kg/ha","25.79"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient potash K2O (total)","2011","kg/ha","28.22"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient potash K2O (total)","2012","kg/ha","27.56"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient potash K2O (total)","2013","kg/ha","27.69"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient potash K2O (total)","2014","kg/ha","32.77"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient potash K2O (total)","2015","kg/ha","33.36"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient potash K2O (total)","2016","kg/ha","33.2"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient potash K2O (total)","2017","kg/ha","34.62"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient potash K2O (total)","2018","kg/ha","33.54"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient potash K2O (total)","2019","kg/ha","31.31"
"Fertilizers indicators","Asia","Use per area of cropland","Nutrient potash K2O (total)","2020","kg/ha","32.1"
